N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
85,SKC,"113,800",보합0,0.00%,"5,000","43,094","37,868",16.53,"201,492",-13.96,-17.57,
86,LS ELECTRIC,"139,300","상승
				7,600",+5.77%,"5,000","41,790","30,000",22.04,"338,993",19.16,12.61,
87,삼성증권,"46,400","상승
				200",+0.43%,"5,000","41,435","89,300",30.90,"122,639",6.33,8.54,
88,CJ제일제당,"273,000","상승
				1,000",+0.37%,"5,000","41,098","15,054",24.16,"14,947",9.69,5.55,
89,한국금융지주,"73,700","하락
				1,000",-1.34%,"5,000","41,070","55,726",41.29,"64,901",5.62,8.81,
90,LG이노텍,"173,200","상승
				8,500",+5.16%,"5,000","40,991","23,667",26.52,"128,970",5.91,12.59,
91,엘앤에프,"111,000","상승
				6,300",+6.02%,500,"40,289","36,296",21.00,"158,593",-7.38,-16.35,
92,TIGER 미국나스닥100,"129,890","상승
				600",+0.46%,0,"40,071","30,850",0.30,"242,110",N/A,N/A,
93,오리온,"101,200","하락
				1,300",-1.27%,500,"40,011","39,536",28.96,"66,488",10.43,13.91,
94,현대오토에버,"143,100","하락
				2,700",-1.85%,500,"39,244","27,424",1.66,"36,618",25.54,9.01,
95,GS,"42,000","하락
				200",-0.47%,"5,000","39,024","92,915",21.96,"86,636",5.95,10.05,
96,삼양식품,"518,000","하락
				14,000",-2.63%,"5,000","39,021","7,533",13.12,"46,408",17.17,24.81,
97,두산밥캣,"38,400","상승
				1,300",+3.50%,500,"38,496","100,249",36.06,"223,278",5.87,16.79,
98,SK바이오사이언스,"48,950","상승
				1,100",+2.30%,500,"38,351","78,347",7.22,"48,397",-86.94,1.30,
99,현대차우,"157,600","상승
				700",+0.45%,"5,000","37,622","23,872",63.65,"58,325",3.45,N/A,
100,TIGER KOFR금리액티브(합성),"107,275","상승
				10",+0.01%,0,"37,581","35,032",0.00,"47,640",N/A,N/A,
101,삼성E&A,"18,870","상승
				610",+3.34%,"5,000","36,985","196,000",46.31,"562,923",4.88,24.45,
102,강원랜드,"17,240","하락
				130",-0.75%,500,"36,883","213,940",13.26,"236,072",8.81,9.61,
103,효성중공업,"391,500","하락
				15,000",-3.69%,"5,000","36,506","9,325",15.39,"139,184",23.27,11.29,
104,JB금융지주,"18,610","하락
				140",-0.75%,"5,000","36,305","195,083",36.92,"216,905",5.80,12.23,
105,한미약품,"282,500","상승
				4,500",+1.62%,"2,500","36,191","12,811",17.54,"29,294",22.53,16.01,
106,두산,"213,500","하락
				10,500",-4.69%,"5,000","35,278","16,524",18.04,"103,814",-14.19,-22.74,
107,포스코DX,"22,650","상승
				1,100",+5.10%,500,"34,436","152,035",6.55,"327,149",43.39,21.08,
108,키움증권,"125,600","하락
				600",-0.48%,"5,000","32,062","25,527",26.04,"28,944",7.41,9.27,
109,카카오페이,"23,800","상승
				200",+0.85%,500,"32,040","134,623",37.74,"133,969",-163.01,0.14,
110,BNK금융지주,"9,950","하락
				10",-0.10%,"5,000","31,883","320,437",38.61,"607,220",4.72,6.38,
111,현대건설,"28,550","상승
				250",+0.88%,"5,000","31,792","111,356",22.00,"820,503",7.44,6.77,
112,시프트업,"52,700","상승
				3,300",+6.68%,200,"30,742","58,335",1.56,"113,201",24.72,86.44,
113,한화솔루션,"17,520","상승
				930",+5.61%,"5,000","30,116","171,893",19.00,"2,986,110",-1.95,-2.48,
114,현대제철,"22,300","상승
				650",+3.00%,"5,000","29,758","133,446",21.35,"1,192,803",-15.42,2.44,
